Clave,AREA_M,AREA_KM
11_4_1_0629,42657.57768660000,0.04265760000
11_4_1_0474,13228.94172580000,0.01322890000
11_4_1_0205,31782.66095780000,0.03178270000
11_4_65_0544,6958.12128879000,0.00695812000
11_4_65_0525,3088.77511368000,0.00308878000
11_4_1_0099,511295.61474700000,0.51129600000
11_4_1_0135,472970.15159300000,0.47297000000
11_4_65_0686,29469.58427180000,0.02946960000
11_4_1_0262,89151.87187640000,0.08915190000
11_4_1_0116,325377.29298700000,0.32537700000
11_4_1_0120,490664.51921700000,0.49066500000
11_4_1_0614,3906.45298135000,0.00390645000
11_4_1_0258,12928.66514770000,0.01292870000
11_4_1_039A,18915.80627300000,0.01891580000
11_4_1_0309,149362.37436400000,0.14936200000
11_4_1_0313,34689.11116110000,0.03468910000
11_4_1_0366,346743.10471600000,0.34674300000
11_4_1_0648,159987.88088200000,0.15998800000
11_4_1_0154,208623.84655800000,0.20862400000
11_4_1_0328,28625.45238010000,0.02862550000
11_4_1_0417,25671.31547680000,0.02567130000
11_4_1_0633,28092.88403630000,0.02809290000
11_4_1_0718,9584.93199495000,0.00958493000
11_4_1_0101,565725.82154200000,0.56572600000
11_4_1_0173,703970.95841300000,0.70397100000
11_4_1_0332,19632.28875480000,0.01963230000
11_4_1_0370,621843.21082000000,0.62184300000
11_4_1_0385,688309.26345700000,0.68830900000
11_4_65_0667,28772.12894980000,0.02877210000
11_4_1_0493,55995.18770450000,0.05599520000
11_4_1_0506,191379.27572200000,0.19137900000
11_4_1_0489,160439.71770400000,0.16044000000
11_4_71_0563,102343.75166500000,0.10234400000
11_4_1_014A,485742.73662700000,0.48574300000
11_4_71_0239,1200088.24473000000,1.20009000000
11_5_45_1107,4785.38109092000,0.00478538000
11_5_1_0293,7280.14766387000,0.00728015000
11_5_45_0240,33905.71549080000,0.03390570000
11_5_3_0984,11329.95027480000,0.01132990000
11_5_3_0999,3378.56082861000,0.00337856000
11_5_21_1041,899.26642450200,0.00089926600
11_5_21_1037,1006.34086589000,0.00100634000
11_5_33_1056,1354.81252095000,0.00135481000
11_5_45_1094,11198.22549710000,0.01119820000
11_5_45_1075,8553.56483909000,0.00855356000
11_5_45_108A,12794.11351180000,0.01279410000
11_5_1_097A,17020.32591400000,0.01702030000
11_5_1_0931,6305.82629087000,0.00630583000
11_5_1_0950,4356.60428550000,0.00435660000
11_5_1_0594,16652.53835860000,0.01665250000
11_5_1_0433,30053.58809340000,0.03005360000
11_5_1_0448,33683.55072180000,0.03368350000
11_5_1_0471,7703.04426547000,0.00770304000
11_5_1_040A,80231.40611700000,0.08023140000
11_5_1_0310,48538.22914390000,0.04853820000
11_5_1_0537,35661.33483760000,0.03566130000
11_5_1_0541,58376.31484110000,0.05837630000
11_5_1_0607,19437.83655370000,0.01943780000
11_5_1_065A,12034.97470840000,0.01203500000
11_5_1_0664,2380.50141262000,0.00238050000
11_5_1_0823,4808.75386211000,0.00480875000
11_5_1_0842,9425.44570068000,0.00942545000
11_5_1_0838,10210.20186900000,0.01021020000
11_5_1_0857,3895.61064474000,0.00389561000
11_5_1_0804,62129.28250740000,0.06212930000
11_5_1_0819,13864.93320490000,0.01386490000
11_5_1_0217,59476.93118500000,0.05947690000
11_5_1_0452,14858.04340790000,0.01485800000
11_5_1_0467,10563.49717830000,0.01056350000
11_5_1_0490,27825.80051870000,0.02782580000
11_5_45_0679,20818.34227990000,0.02081830000
